order_purchase_timestamp,observed,trend,seasonal,resid
2016-11-25,0.0,0.0,176.7240122210692,-176.7240122210692
2016-11-26,0.0,0.0,-4720.841792973737,4720.841792973737
2016-11-27,0.0,0.0,-3776.4814812854247,3776.4814812854247
2016-11-28,0.0,0.0,3070.6555624414905,-3070.6555624414905
2016-11-29,0.0,0.0,2503.115103725894,-2503.115103725894
2016-11-30,0.0,0.0,1866.4200641691205,-1866.4200641691205
2016-12-01,0.0,0.0,880.4085317015885,-880.4085317015885
2016-12-02,0.0,0.0,176.7240122210692,-176.7240122210692
2016-12-03,0.0,0.0,-4720.841792973737,4720.841792973737
2016-12-04,0.0,0.0,-3776.4814812854247,3776.4814812854247
2016-12-05,0.0,0.0,3070.6555624414905,-3070.6555624414905
2016-12-06,0.0,0.0,2503.115103725894,-2503.115103725894
